TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,5/4/2025,1034,2059,402,0.0,2048.2,0.1,Debit
2,5/4/2025,1066,2048,403,1.0,321.87,0.0,Debit
3,5/4/2025,1116,2041,403,3.0,3216.84,0.15,Debit
4,5/4/2025,1071,2096,404,2.0,1613.23,0.1,Credit
5,5/4/2025,1020,2060,401,0.0,408.38,0.0,Cash
6,5/4/2025,1089,2028,401,0.0,1275.88,0.1,Cash
6,5/4/2025,1089,2028,401,0.0,1275.88,0.1,Credit
7,5/4/2025,1193,2003,402,1.0,346.66,0.0,Credit
8,5/4/2025,1005,2079,402,1.0,855.49,0.05,Cash
9,5/4/2025,1032,2060,401,1.0,735.08,0.05,Credit
10,5/4/2025,1119,2089,403,2.0,661.63,0.05,Debit
11,5/4/2025,1042,2077,401,,505.65,0.05,Cash
12,5/4/2025,1079,2013,401,2.0,0,0.0,Debit
13,5/4/2025,1147,2086,404,3.0,4470.5,0.15,Credit
14,5/4/2025,1183,2025,401,1.0,503.32,0.05,Cash
15,5/4/2025,1026,2089,403,0.0,413.52,0.0,Cash
16,5/4/2025,1144,2005,403,3.0,1715.12,0.1,Credit
17,5/4/2025,1169,2047,401,2.0,535.97,0.05,Credit
18,5/4/2025,1003,2053,404,0.0,3660.9,0.15,Debit
19,5/4/2025,1110,2046,404,1.0,30.09,0.0,Credit
20,5/4/2025,1111,2022,403,3.0,671.18,0.05,Cash
21,5/4/2025,1119,2055,403,2.0,?,,Cash
22,5/4/2025,1062,2011,403,3.0,1229.22,0.1,Cash
23,5/4/2025,1062,2096,404,3.0,672.18,0.05,Cash
24,5/4/2025,1086,2003,404,2.0,924.43,0.05,Debit
25,5/4/2025,1046,2062,402,2.0,1981.95,0.1,Credit
26,5/4/2025,1066,2043,403,2.0,698.76,0.05,Debit
27,5/4/2025,1142,2001,402,0.0,1237.05,0.1,Cash
28,5/4/2025,1061,2092,404,3.0,482.21,0.0,Debit
29,5/4/2025,1142,2097,402,3.0,4210.5,0.15,Debit
30,5/4/2025,1165,2091,404,3.0,4528.95,0.15,Credit
31,2023-13-01,1004,2011,403,1.0,737.53,0.05,Cash
32,5/4/2025,1103,2088,402,2.0,0,0.0,Cash
33,5/4/2025,1169,2074,403,3.0,0,0.0,Credit
34,5/4/2025,1141,2067,403,3.0,872.85,0.05,Credit
35,5/4/2025,1190,2070,403,2.0,54.69,0.0,Cash
36,5/4/2025,1179,2058,403,2.0,1066.8,0.1,Debit
37,5/4/2025,1064,2029,401,1.0,12.16,0.0,Cash
38,5/4/2025,1080,2015,402,1.0,3037.36,0.15,Credit
39,5/4/2025,1055,2094,404,2.0,1578.72,0.1,Credit
40,5/4/2025,1185,2075,403,0.0,0,0.0,Debit
41,5/4/2025,9999,2037,402,2.0,288.11,0.0,Credit
42,5/4/2025,1045,2038,401,1.0,1667.72,0.1,Credit
43,5/4/2025,1070,2005,401,2.0,686.05,0.05,Cash
44,5/4/2025,1178,2016,404,0.0,0,0.0,Debit
45,5/4/2025,1003,2073,403,3.0,1498.29,0.1,Cash
46,5/4/2025,1122,2056,403,1.0,944.5,0.05,Debit
47,5/4/2025,1013,2032,404,0.0,2836.8,0.15,Credit
48,5/4/2025,1016,2051,404,0.0,117.32,0.0,Cash
49,5/4/2025,1147,2080,401,1.0,0,0.0,Debit
50,5/4/2025,1038,2072,403,0.0,840.6,0.05,Debit
51,5/4/2025,1063,2015,404,1.0,1214.95,0.1,Debit
52,5/4/2025,1198,2066,404,3.0,516.06,0.05,Cash
53,5/4/2025,1113,2038,404,2.0,2223.62,0.1,Debit
54,5/4/2025,1145,2079,401,0.0,1901.08,0.1,Credit
55,5/4/2025,1195,2026,402,2.0,507.74,0.05,Credit
56,5/4/2025,1169,2010,402,1.0,140.11,0.0,Debit
57,5/4/2025,1044,2070,401,1.0,0,0.0,Cash
58,5/4/2025,1000,2052,404,3.0,2193.78,0.1,Debit
59,5/4/2025,1074,2004,402,2.0,741.8,0.05,Debit
60,5/4/2025,1180,2036,404,0.0,217.98,0.0,Credit
61,5/4/2025,1175,2029,403,1.0,36.48,0.0,Credit
62,5/4/2025,1108,2014,402,1.0,221.67,0.0,Debit
63,5/4/2025,1068,2018,401,0.0,2169.04,0.1,Credit
64,5/4/2025,1042,2039,403,3.0,2929.32,0.15,Cash
65,5/4/2025,1031,2059,403,3.0,0,0.0,Credit
66,5/4/2025,1069,2064,404,3.0,1470.2,0.1,Cash
67,5/4/2025,1020,2076,401,3.0,4836.42,0.15,Cash
68,5/4/2025,1188,2041,403,0.0,1608.42,0.1,Credit
69,5/4/2025,1023,2029,401,2.0,0,0.0,Cash
70,5/4/2025,1147,2005,402,3.0,0,0.0,Credit
71,5/4/2025,1132,2083,404,2.0,614.53,0.05,Debit
72,5/4/2025,1046,2074,404,3.0,659.5,0.05,Cash
73,5/4/2025,1023,2060,403,3.0,1225.14,0.1,Cash
74,5/4/2025,1085,2041,401,1.0,1447.58,0.1,Cash
75,5/4/2025,1084,2052,404,2.0,2925.04,0.15,Credit
76,5/4/2025,1169,2051,401,3.0,117.32,0.0,Debit
77,5/4/2025,1022,2040,403,2.0,55.26,0.0,Credit
78,5/4/2025,1029,2098,404,0.0,3631.44,0.15,Cash
79,5/4/2025,1168,2069,404,3.0,232.39,0.0,Credit
80,5/4/2025,1013,2024,403,3.0,372.81,0.0,Debit
81,5/4/2025,1160,2056,401,1.0,472.25,0.0,Debit
82,5/4/2025,1068,2070,402,2.0,109.38,0.0,Credit
83,5/4/2025,1112,2089,404,0.0,2067.6,0.1,Cash
84,5/4/2025,1007,2080,402,1.0,1498.07,0.1,Debit
85,5/4/2025,1079,2070,401,3.0,34.18,0.0,Cash
86,5/4/2025,1023,2028,401,3.0,2551.76,0.15,Credit
87,5/4/2025,1030,2082,402,3.0,799.8,0.05,Credit
88,5/4/2025,1183,2037,403,3.0,2160.84,0.1,Cash
89,5/4/2025,1123,2060,402,3.0,2450.28,0.1,Cash
90,5/4/2025,1141,2018,404,1.0,2440.17,0.1,Credit
91,5/4/2025,1153,2065,402,0.0,470.34,0.0,Credit
92,5/4/2025,1070,2098,404,2.0,0,0.0,Cash
93,5/4/2025,1129,2034,401,2.0,108.94,0.0,Debit
